"string_rna_class","centroid_x","centroid_y"
"+NM",1616.5,2199
"+RIBO18S",1495,35
"+NM",611,340.5
"+RIBO18S",3237.33333333,2549.33333333
"+NM",2616.61538462,3015.38461538
"-NM",4,1
"-NM",2,3
"+RIBO18S",2351.38235294,759.294117647
"+RIBO18S",2480.86666667,79.4666666667
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",666.375,1140.65625
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1482.2,2014.2
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1523.6,1489.2
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1718.13207547,1480.09433962
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1750,2625.5
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",1898.16666667,538.5
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",2056.125,2145.125
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",2567.33333333,1687.33333333
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",2944.57142857,1242.42857143
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",3113.6875,1423.0625
"+RIBO18S",18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588),NR_046235.1"
"+RIBO18S",2043.26666667,2121.13333333
"+RIBO18S",NR_003286.2,NR_046235.1"
"+RIBO18S",2557.19047619,1082.4047619
"+RIBO18S",NR_003286.2,NR_046235.1"
"+RIBO18S",NR_003286.2,NR_046235.1"
"+RIBO18S",NR_003286.2,NR_046235.1"
"+RIBO18S",1163.33333333,1485.86666667
"+RIBO18S",NR_003286.2,NR_046235.1"
"+RIBO18S",NR_003286.2,NR_046235.1"
"+RIBO18S",2514.6,2928.66666667
"+RIBO18S",NR_003286.2,NR_046235.1"
"+NM",802.5,2413.5
"+RIBO18S",768.1,588.8
"+RIBO18S",1210,2432.45454545
"+RIBO18S",1257.75,2129.25
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",1498.33333333,449.166666667
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",2061.22222222,2222.55555556
"+RIBO18S",2101.18181818,2067.54545455
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+NR",2400,1701
"+NR",2473,1672.5
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_046235.1,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",2802.64,1022
"+RIBO18S",3094.55555556,1269.88888889
"+NM",770.8,2748.2
"-NM",NM_001099272.1,NM_001172418.1"
"+RIBO16S",1.906819,683.333333333
"-NM",1481,1630.5
"-NM",2,2
"+NM",1421,2640.5
"+NM",2,2
"-NR",2056.5,2108
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_046235.1"
"+RIBO28S",728,246.666666667
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_046235.1"
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_046235.1"
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_046235.1"
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_046235.1"
"+RIBO28S",374.619047619,642.333333333
"+RIBO28S",1003,2047.5
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_003287.2"
"+RIBO28S",1377.75,1884.625
"+RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_003287.2"
"+RIBO28S",2495.5,2652.5
"+RIBO28S",1022,2188.33333333
"+RIBO28S",1958.53125,3209.40625
"+RIBO28S",2000.75,2964
"+RIBO28S",2197.66666667,657
"+RIBO28S",2736.40909091,2932.18181818
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",563.578947368,1703.31578947
"+RIBO28S",782.571428571,2908.9047619
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",1191.86956522,2819.17391304
"+RIBO28S",1446.8,1566.6
"+RIBO28S",1455.4,1675.8
"+RIBO28S",1465.125,1674.875
"+RIBO28S",1470.125,1682.125
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",1729.02272727,831.590909091
"+NM",1842.33333333,2624.16666667
"+RIBO28S",2050.5,436
"+RIBO28S",2119.1,2887.8
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",2307.5,292.5
"+RIBO28S",2367,2540.5
"+RIBO28S",2459.125,1225.125
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",2486.11111111,563
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",2917.8,1841.4
"+RIBO28S",957,1535.30769231
"+RIBO28S",NR_003287.2,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",475.569767442,2992.27906977
"+RIBO28S",NR_003287.2,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+NM",1299.5,2394.5
"+RIBO28S",1172.60655738,1236.8852459
"-NM",1352,1081
"-NM",1902.5,1729.5
"-NM",2252.66666667,1798.33333333
"+NM",1592,2568.5
"+RIBO16S",1.626166,1201.5
"-NM",-","NM_001146210.1
"+NM",1480,3111.2
"+NR",2,3
"-NM",2087,2320.5
"+NM",NM_212476.1,NM_002026.2
"+NM","1595,1685
"+RIBO18S",632.5,1875.5
"+NM,+,+"
"-NR,NR_047572.1","47
"-NM",1574,2622.83333333
"-NM",2751,3131.33333333
"+RIBO18S",377.5,511.833333333
"+RIBO18S",1284.5,1344.5
"-NM",2035,293.5
"+NM",2800,2693
"+NR",599.5,444.5
"+NM",1976.27906977,1948.90697674
"-NM",2962.90909091,2542.27272727
"+NM",2,0
"+NM",NM_212478.1,NM_212482.1
"+NM",649.333333333,588.333333333
"-NM","2251,2278
"-NM",1231.5,2108.5
"+RIBO28S",1324.20588235,459.294117647
"+NM",1481.75,2133.5
"+NM",715,544.333333333
"+NM",2409.75,1747.25
"+NM",860.6,993.8
"-NM","5383,5542
"+RIBO18S",2852.57142857,2354
"+RIBO18S",802.739130435,2390.52173913
"+RIBO18S",2973,2685.16666667
"-RIBO28S",1778,2708.33333333
"-RIBO28S",1398.7,659.3
"+NM",+,+"
"+NM",2,1
"+NM","1917,1631
"+NM",2460,1824
"-NM",2,0
"-NM",1371,823.5
"-NR",796,2190
"-NR",2940.33333333,1402.66666667
"+NM",61,0
"+NM",1965.15384615,2751.76923077
"+RIBO28S",2350.75,105
"-NM",NM_017684.4,NM_020821.2"
"-NM",2362.5,3153
"-NM",2,0
"+RIBO18S",NR_003286.2,NR_046235.1"
"-NM","1153,1150
"+NM",960,1569.5
"-NM",1599,1595.5
"-NM",2979,74.5
"-NM",-,-"
"+RIBO28S",646.8,22.3
"+NM",NM_001127357.1,NM_001127359.1
"-NM","22,22
"-NM",1521.25,714.25
"+NM",2909.44444444,1008.44444444
"+RIBO18S",1595.5,2265
"-NM",756,1077.5
"-NM",2047.5,2475.5
"+RIBO28S",2223.16666667,2983.83333333
"-NM",3,2
"-NM",2,3
"+NM",2608.66666667,1542.33333333
"-NM",2618.66666667,828
"+RIBO28S",1052.25,26
"+RIBO28S",3259,166.25
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",NR_003287.2,NR_046235.1"
"+RIBO28S",1742.66666667,1955.66666667
"+RIBO28S",NR_046235.1,NR_003287.2"
"-NM",3131,2231.5
"+NM","2821,1497"
"-NM",2779,2662.5
"+NM",3110,2729.5
"+NM,NR_046330.1,NM_006659.3
"+NM,NM_001256617.1,NM_006659.3
"+NM,NM_001256617.1,NM_006659.3
"+NM,NM_001256617.1,NM_006659.3
"+NM","920,920
"+NM",1875.5,1204.5
"+NM",1922,1140.33333333
"+NR",1002,2283
"-NM",1005,1860.5
"-NM",2915.5,1552
"+RIBO28S",667,2125.8
"+RIBO28S",669.608695652,2705.60869565
"+RIBO28S",1491,1839.5
"+RIBO28S",1238.25,913.5
"+RIBO28S",1227.33333333,3120.33333333
"+RIBO28S",886.375,8.25
"+RIBO28S",1213,208
"+RIBO28S",2336.5,2236
"+RIBO28S",2012.22222222,80.2222222222
"+RIBO28S",2295,1189
"+RIBO28S",2077.75,1959
"+RIBO28S",2114.33333333,2199.66666667
"+RIBO28S",2181.1,2286.2
"-NR",1151,1127.5
"+NR",2485,472.5
"+NR",1738.66666667,1731.66666667
"+RIBO28S",2627.50746269,1428.82089552
"+RIBO28S",2825.66666667,3254.55555556
"+RIBO28S",2943.86956522,601.97826087
"+NR",1329.25,133.25
"+RIBO28S",2197.53846154,1202.32307692
"-NM",2343.1,1698.95
"-NM",513.25,468
"-NM",-","NM_001168238.1
"+NM",1620,2867.5
"+RIBO28S",3254.41935484,83.5
"+NR",914,2206.5
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",431.4,705.6
"+RIBO28S",983.375,2151.875
"+NR",1061.5,1046.5
"+RIBO28S",1321.2,1584.2
"+RIBO28S",1878.91666667,2548.83333333
"+RIBO28S",1919.11111111,2271.77777778
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",2629.67857143,1339.82142857
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",1728.75,1195.91666667
"-NM",554,434.5
"+NM",750.5,579.5
"+RIBO18S",2815.3,2740.2
"+NM",3,2
"+NR",1739,963.5
"+NR",2146.65,2058.65
"+NM",1467,340.5
"-NM",2,3
"-NM","32444,28712
"-NM",1599,2153.5
"-NM",1256.33333333,2287
"+NM",1452,1484.5
"+NM",2586.6,826.2
"-NM",804.5,2080
"+NM",1703,1067.5
"-NM",2962,2610.5
"+RIBO28S",1931.4,1002.2
"-NM",2666.33333333,2169.33333333
"+NM",1527.5,3236
"+RIBO28S",2891.4,1592.8
"-NM",3239.5,2673
"+NM",35,0
"+NM","1403,2727
"-NM",1189,526.5
"+NM",1264,434
"+NR",1578.7,2055.55
"-NM",3139,2222.33333333
"+NM",2608,808.5
"+RIBO18S",1966,1657.5
"-NM",3,4
"+NM",1512.6,2841.8
"+RIBO18S",869.5,2696
"-NM",1109.66666667,1288.33333333
"-NM",1981,3013.5
"-NM",2101.25,2916.5
"-NM",2709.5,809.5
"-NR,-","NM_001174130.1
"+NM",1919.68965517,2218.72413793
"-NM",2,2
"+NM",3,0
"-NM",3221.5,272.5
"+RIBO18S",1015,1661.125
"-RIBO28S",NR_003287.2,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+NM",+","NM_001166167.1
"-NM",1791,1487.5
"-NM",2581.33333333,1748
"+NM",16,0
"-NM",807.75,377.5
"-NM",1020.33333333,1268.66666667
"+RIBO18S",1932.4375,2541.09375
"+NM",1441.5,3102.5
"+NM,+","NM_001145785.1
"+RIBO18S",2790.5,3170.5
"+NM",1918.14285714,923.408163265
"+NM",2192.5,778
"-NM",901,2084
"+NM",1965.33333333,1203
"-NR,NR_037849.1","969
"-NR",2423.4,2017.2
"+NR",2,3
"-NM","NM_001184776.1,NM_001184773.1
"+NM",1693.5,2855.5
"+NM","3340,3460
"+RIBO18S",929.454545455,2790.54545455
"+RIBO18S",1510.92307692,2631.76923077
"+RIBO18S",1802.16666667,3223.16666667
"+RIBO18S",3014.42857143,1778.85714286
"+RIBO18S",1303,2740.2
"+RIBO18S",224.157894737,1326.57894737
"+RIBO18S",973,2206.5
"+RIBO18S",1056.33333333,2138.66666667
"+RIBO18S",1196.75,140.25
"+RIBO18S",1264.5,2578.5
"+RIBO18S",1322.83333333,1868
"+RIBO18S",1363.15384615,1346.69230769
"+RIBO18S",1822,1621.5
"+RIBO18S",2205.6,1010.6
"+RIBO18S",2208.33333333,167.222222222
"+RIBO18S",2214.4,2864.6
"+RIBO18S",2490.33333333,3044.66666667
"+RIBO18S",2593,3118
"+RIBO18S",3173,886.5
"+RIBO18S",1369,2018.14285714
"+RIBO18S",1624.57142857,647.285714286
"-NM",2,2
"+NM","NM_001169123.1,NM_001170628.1
"-NM","NM_001024912.2,NM_001205344.1
"-NM",1936.4,704.2
"-NM",-","NM_139279.5
"+NM",1588,2946.33333333
"-NM",1593,2948
"+NM,NR_023312.1","776
"+NM",1434.5,2613
"+NM",1033.33333333,1519.66666667
"+NM",1033.75,1347.875
"-NM",601.666666667,416.333333333
"+NM,NM_001256440.1","1448
"-NM",NM_001008213.1,NM_001008212.1"
"+NM",3128.5,3026
"+NM","1643,1694
"+NM",1367,1845.66666667
"+NM",2842.5,2608
"+RIBO18S",1044.28571429,709.714285714
"-NM",1075.75,282.5
"-NM",2545.33333333,1605.33333333
"-NM",1469,1231.5
"+NM","NM_001198819.1,NM_001198818.1
"+RIBO28S",NR_003287.2,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO18S",2601,1560.5
"+RIBO28S",2826.37037037,1094.25925926
"-NM","564,371
"-NM",3227,2419.5
"+RIBO16S",1.338128,2109.91304348
"+RIBO16S",1.282334,2491.38461538
"+RIBO28S",1983.75,2490.33333333
"-NM",2950,3260.5
"+NM,+,+
"-RIBO28S",1156,2696.5
"-RIBO28S",1247.66666667,2329.66666667
"-NM",2468.75,265.75
"-NM",2879.33333333,3098.33333333
"+RIBO28S",1385,2473.74
"+RIBO28S",2326.15384615,580.692307692
"+RIBO28S",2599,2469.5
"+RIBO28S",1796,1752.5
"+RIBO28S",971.333333333,205.666666667
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO18S",2450.46666667,2280.33333333
"-NM",NM_001278452.1,NM_007237.4"
"+NM",2,4
"+NM",NM_184041.2,NM_001127617.2
"+NM",2053.5,2212
"-NM",2828,2931.5
"+RIBO18S",1207.84615385,209.692307692
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"-NR,1020",2
"-NR",1561.5,963
"+NM",1825,1150.5
"+NR",2,2
"+RIBO18S",3237.24137931,42.632183908
"+RIBO28S",1887.5,505
"+RIBO18S",NR_046235.1,NR_003286.2"
"+RIBO18S",2060.5,259
"-NR",2668.5,920
"+NM",3222.66666667,2710.33333333
"+RIBO18S",NR_003286.2,NR_046235.1"
"+RIBO18S",2890.2,1801.3
"+RIBO18S",1427.6,535
"+RIBO18S",2053.36363636,820.090909091
"+RIBO18S",3097.31818182,1479.81818182
"-NM",1435,1089.5
"+NM",1490.5,2070
"-NM",1587,1163.5
"+RIBO28S",1458.25,3109.625
"-NR",1790,3051.66666667
"+NM",6,0
"-NM",1113.33333333,2925.33333333
"+NM",1761.33333333,2120.33333333
"+NM","NM_212478.1,NM_212474.1
"-NM",2486,1016.5
"+NM",2,1
"+RIBO28S",599.833333333,1008.16666667
"+RIBO28S",742.25,2478.25
"+RIBO28S",892.5,2479.75
"+RIBO28S",1152.5,258.5
"+RIBO28S",2136.33333333,2132.33333333
"+RIBO28S",NR_046235.1,NR_003287.2"
"-NM",2372.5,2954
"+NM",2353.5,1458
"+NM,+,+
"+RIBO28S",2603.81818182,1938.90909091
"+RIBO28S",3102.5,2980.5
"+NM",NM_014775.3,NM_001258327.1
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+NM",2,2
"+RIBO12S",1.772063,1616.5
"+RIBO12S",1.78845,1903.12765957
"+RIBO12S",1.817882,2363.5
"+RIBO12S",1.762106,1016.5
"+RIBO12S",1.762106,2173.68888889
"+RIBO12S",1.762106,2318.51612903
"+RIBO12S",1.845366,559.5
"+RIBO12S",1.762106,1709.61111111
"+RIBO12S",1.729705,1748.34615385
"+RIBO12S",1.762106,2064.11764706
"+RIBO12S",1.762106,2745.55555556
"+RIBO12S",1.762106,540.642857143
"+RIBO12S",1.795836,2086.07843137
"+NM",1540.83333333,349.833333333
"+RIBO28S",866.55,327.55
"-NM","334,334
"+NM",2483.66666667,3207.16666667
"+RIBO18S",1502.16666667,1429.16666667
"+NM",2359.62162162,54
"+NM",1482.5,1316.83333333
"-NM",581.5,1092.5
"+RIBO18S",3216.2,1210.6
"+NM",3,3
"+RIBO18S",NR_003286.2,18S_gi|124517659|ref|NR_003286.1|_Homo_sapiens_18S_ribosomal_RNA_(LOC100008588)"
"+RIBO18S",3218.28571429,2573.57142857
"+NM",62,0
"-NR,"NM_001242904.1,NR_040243.1
"-NM",SPATA31A7,SPATA31A6"
"-NM","741,866
"+NM",NM_134421.2,NM_002149.3
"-RIBO18S",1750.75,1513.875
"-NR",3123.5,874
"+NM",2153.5,1640
"-NM",1238.5,170
"+RIBO18S",1059.33333333,851.333333333
"+NM",1387.75,2140.25
"+RIBO28S",2699.92307692,3218.46153846
"+RIBO18S",1497.52631579,3004.26315789
"-NR",2596.5,2706
"-NM",1373,1283.5
"+NM",NM_002026.2,NM_212474.1
"-NM",1580.5,3097.5
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+RIBO28S",1593.625,1018.75
"+RIBO28S",1539.23076923,2236.76923077
"+RIBO28S",NR_046235.1,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"+NR",2248.5,1559.5
"+RIBO28S",NR_003287.2,28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589)"
"-NM",2506.8,558.6
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",1812.75,2565.25
"-NM",1531.5,1486
"+NM",2403.5,327
"+RIBO28S",887.4375,129.53125
"+RIBO28S",1147.5,1910.75
"-NM",772,1004.5
"-NM",1560.5,3265
"+NM",1656.5,2052
"-NM",2103.5,2487.5
"+RIBO18S",1956.5,1877.5
"-NM",1634.5,1360
"-NM",2061.85714286,291.428571429
"+NM",1387.14285714,145.238095238
"+NM",3,3
"+NR",982.5,2067
"+NM",NM_203318.1,NM_004740.3"
"-NM",2101,2268.75
"-NM",2631.33333333,2837
"-NM",968.5,2291
"-NM",NM_016826.2,NM_016821.2
"+RIBO28S",1538.5,1966.5
"+NM",2138.5,2885.5
"-NM",895.666666667,1912.66666667
"-NM","1206,1234
"+NM,NM_030666.3","2454
"+NM",3136,2223.5
"+RIBO28S",2728.53703704,215.907407407
"+NM",2977,2702.57142857
"+RIBO28S",581.869565217,717.869565217
"+RIBO28S",1709.83333333,2689.66666667
"+RIBO28S",2350.71428571,2011.42857143
"-NM",624,353.5
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO28S",NR_046235.1,NR_003287.2"
"+RIBO16S",1.841716,527.927536232
"+RIBO16S",1.845909,1712.38461538
"-NM",2937.5,2160.5
"+NM,NM_031284.4","1052
"+NM",1383.16666667,1980.33333333
"+NM","3505,3538
"+NM,91",2
"+NM",13,0
"+RIBO28S",2402.9375,1941.08333333
"-NM",2265.85714286,2989
"+RIBO18S",1773.4,3183.8
"+NR",1241.5,1212.5
"+NM",2758.5,2534
"+RIBO28S",1195.5,1265.5
"-RIBO28S",28S_gi|124517661|ref|NR_003287.1|_Homo_sapiens_28S_ribosomal_RNA_(LOC100008589),NR_003287.2"
"-RIBO28S",1975.25,577.25
"+NM",685,185.5
"+NM",1384.33333333,1452.5
"+NM",1463,17.6666666667
"+NM",1762.8,1041.2
"+NM",2052.5,2129.5
"-NR",1128.33333333,932.333333333
"+NM",737.125,1054.25
"+NM",1182.5,1329
"+NM",1292.5,50
"+NM",1402.5,1138
"-NR",1351,1535.66666667
"-NR",1353,1529
"-NR",314,1312.5
"+NM",2253.5,228.5
"+NM",3,4
"+RIBO28S",2811.37142857,460.171428571
"-NR",2,0
"+NM",34,0
"+NM","846,916
"+NM","846,916
"+NM",12,1
"+NM",3117.5,3022
"+RIBO12S",1.842371,1651.47058824
"+RIBO12S",1.816026,2560.71428571
"+NM",NM_130837.2,NM_015560.2"
"+NM",NM_130837.2,NM_015560.2"
"+RIBO16S",1.850645,1756.36363636
"+RIBO28S",3203.77777778,2940.55555556
"-NM",1297,2953.5
"+NR",2607.8,917.8
"-NM","3080,2966
"-NM","3080,2966
"-NR",2978.33333333,2712
"+RIBO18S",615.333333333,1199.44444444
"+NM",3230.5,2644
"-NM","9988,10132
"-NM",1324.5,2191.5
"+RIBO18S",NR_046235.1,NR_003286.2"
"-NM",2134.28571429,2050.85714286
"+NM","NM_133432.3,NM_133378.4
"+NM",1582.11764706,3142.41176471
"-NR",1107.33333333,1615.33333333
"-NM",1851.5,185
"-NM","2264,2014
"+NR",1627,1180.5
"+NM",923.5,1601
